900,,84,84,84,792,
2350,,94,94,94,1820,
2964,,112,112,112,2146,
4290,,130,130,130,3360,
1504,,107,107,107,977,
378,,36,36,36,298,
1376,,72,72,72,980,
5952,,155,155,155,3997,
1656,,107,107,107,1409,
5394,,148,148,148,3650,
6390,,158,158,158,4704,
259,,41,41,41,187,
670,,74,74,74,274,
1080,,75,75,75,727,
1656,,92,92,92,1134,
3555,,121,121,121,2301,
3780,,126,126,126,2646,
3096,,112,112,112,1696,
2438,,96,96,96,1758,
1445,,99,99,99,1281,
8930,,186,186,186,5438,
616,,47,47,47,485,
6264,,156,156,156,4270,
6956,,165,165,165,4563,
3350,,114,114,114,2380,
7084,,166,166,166,4968,
5175,,141,141,141,3659,
660,,49,49,49,567,
3762,,120,120,120,2610,
779,,57,57,57,663,
3055,,109,109,109,2419,
360,,63,63,63,353,
532,,80,80,80,322,
1925,,87,87,87,1507,
7410,,170,170,170,4942,
435,,41,41,41,423,
8712,,184,184,184,5862,
1656,,107,107,107,1341,
1037,,75,75,75,935,
4704,,143,143,143,2963,
9114,,188,188,188,6324,
299,,33,33,33,255,
1188,,68,68,68,834,
1260,,78,78,78,1160,
4366,,130,130,130,3176,
1008,,63,63,63,931,
3234,,128,128,128,2294,
969,,67,67,67,737,
5720,,150,150,150,4194,
451,,49,49,49,409,
2112,,115,115,115,1177,
5225,,147,147,147,3845,
2250,,92,92,92,1568,
2337,,95,95,95,1705,
7387,,169,169,169,4851,
2006,,90,90,90,1636,
1980,,93,93,93,1411,
1276,,77,77,77,871,
75,,17,17,17,45,
5025,,139,139,139,3713,
2772,,114,114,114,2122,
2924,,108,108,108,2188,
1610,,78,78,78,1310,
468,,81,81,81,433,
1633,,91,91,91,1425,
3280,,118,118,118,2324,
1248,,71,71,71,1033,
1411,,97,97,97,951,
665,,99,99,99,623,
1040,,63,63,63,937,
4876,,142,142,142,3342,
1995,,89,89,89,1607,
4029,,127,127,127,3131,
3760,,131,131,131,2429,
6204,,157,157,157,4219,
2816,,117,117,117,2209,
9408,,191,191,191,6829,
2080,,103,103,103,1603,
1800,,82,82,82,1380,
1416,,80,80,80,1092,
1188,,66,66,66,920,
6370,,158,158,158,4372,
1488,,83,83,83,1343,
192,,25,25,25,179,
2436,,110,110,110,1444,
1344,,97,97,97,901,
6633,,163,163,163,4743,
4161,,127,127,127,2959,
1196,,72,72,72,1012,
4352,,129,129,129,3185,
1520,,93,93,93,1289,
632,,84,84,84,522,
1881,,115,115,115,1069,
6975,,165,165,165,4325,
5548,,146,146,146,4160,
2295,,109,109,109,1491,
3696,,122,122,122,2378,
560,,51,51,51,463,
