3160,900
2693,2350
3279,2964
3859,4290
3884,1504
1205,378
2065,1376
4458,5952
3388,1656
4231,5394
4265,6390
1744,259
2611,670
2462,1080
3032,1656
3388,3555
3465,3780
3358,3350
3096,600
4360,6097
3054,3192
3811,4116
4466,6160
1919,414
2905,1971
5141,8084
3478,3315
3355,2128
1353,270
3032,2145
3531,4012
3828,4050
1698,684
2199,1645
614,144
3352,1566
2518,1080
3016,1820
3015,2343
4095,4784
2210,1274
2249,1484
1876,1085
3941,4588
3141,1848
5062,7990
3797,3526
4049,3298
1148,180
3479,3600
3433,3834
4814,7440
4649,7500
3696,4731
1453,360
3912,2116
1735,200
3598,4307
4033,3102
3299,4092
3598,3906
3868,4592
3352,1600
3145,2201
2171,1376
2651,2257
3977,4982
2519,1952
2269,1886
3214,3157
2127,605
3086,2960
3266,1992
2381,1475
4053,5824
3330,3431
1174,308
3683,3752
1499,570
3323,3360
3586,4446
4144,4512
722,85
4378,6440
3070,3080
3781,5525
2939,1425
2117,1075
2922,3692
2516,1887
2061,867
2763,1008
2246,1064
3069,2688
1439,558
4055,4823
4057,5402
2069,828
3105,1596
1964,1330
1315,525
4033,5610
4090,5376
2351,1568
1132,140
2569,1122
4308,5964
2118,864
2946,420
4198,5244
3173,3021
1735,1080
4283,5358
1245,416
3056,3402
3678,2666
2600,290
5010,8526
2361,867
3592,3344
4052,4606
2890,2728
2612,2145
2160,605
2616,1792
3498,780
2334,1470
3985,2277
2992,2537
4056,970
2378,1624
3861,2185
2471,1054
1066,176
1154,312
3077,2280
3322,1817
4448,5760
1630,429
1995,731
3909,3003
2459,1098
4067,2156
3431,3157
3033,2691
2830,2436
2715,1972
3206,1782
1557,806
2681,1856
2618,1408
3389,3384
1225,560
3333,2847
2267,432
3942,2904
2748,1650
3815,4788
589,140
1616,644
1727,900
4492,5820
3073,2457
2459,285
2041,704
4407,5643
2056,920
4564,6732
1622,246
3496,3375
4841,8091
3005,1742
3640,4290
3865,5110
2211,1470
4704,7387
3663,4350
3625,4150
1285,528
2481,1908
1508,527
3854,2668
3461,3358
4252,594
4055,6030
3102,2795
3914,1710
2871,2256
2217,611
2991,1330
4706,6528
3972,4845
2788,793
2834,2365
2559,1870
4044,5115
2157,1150
3724,4984
3647,2275
3756,3276
3804,4544
3697,4386
2199,636
4180,4356
2199,1932
2347,1512
4647,7200
3073,3300
2441,512
5026,7917
4024,1316
1708,301
2972,1350
4408,6970
3325,2920
4753,6402
4077,5576
2639,1856
4552,6461
3816,1300
4148,534
3822,4459
4214,4320
3919,3762
3631,3094
2911,2700
4464,7007
1294,480
2461,885
383,35
